name,citation,id,obligation,constraint,permission,entitlement,MandatoryDelegation,Permissive Delegation,PermissiveProvision,MandatoryProvision,Constraining Provision
Section 0,PL090_284,0,0,0,0,0,0,0,0,0,0
Section 1,PL090_284,1,2,3,1,4,4,0,0,0,0
Section 2,PL090_284,2,2,1,3,7,5,0,0,2,1
Section 3,PL090_284,3,0,0,0,1,1,0,0,0,0
Section 4,PL090_284,4,0,0,0,1,1,0,0,0,0
Section 5,PL090_284,5,1,5,1,4,3,0,0,1,0
Section 6,PL090_284,6,1,0,1,8,7,0,0,0,1
Section 7,PL090_284,7,3,0,1,1,4,0,0,0,0
Section 8,PL090_284,8,8,12,9,15,21,0,0,1,1
Section 9,PL090_284,9,7,16,8,16,19,0,0,1,0
Section 10,PL090_284,10,0,8,12,4,2,0,0,0,0
Section 11,PL090_284,11,0,2,3,1,1,0,0,0,0
Section 12,PL090_284,12,1,0,1,0,1,0,0,0,0
Section 13,PL090_284,13,1,0,1,1,1,0,0,1,0
Section 14,PL090_284,14,0,0,2,1,1,0,0,0,0
Section 15,PL090_284,15,0,3,1,1,1,0,0,0,0
Section 0,PL089_695,0,0,0,1,0,0,0,0,0,0
Section 1,PL089_695,1,35,33,47,160,162,23,23,14,1
Section 2,PL089_695,2,4,2,2,13,13,0,0,2,0
Section 3,PL089_695,3,0,1,1,2,2,0,0,0,0
Section 4,PL089_695,4,0,0,0,1,1,0,0,0,0
Section 5,PL089_695,5,0,1,0,1,1,0,0,0,0
Section 6,PL089_695,6,0,1,2,1,1,0,0,0,0
Section 0,PL090_321,0,36,33,43,63,56,12,12,8,5
Section 0,PL093_234,0,1,0,2,0,0,0,0,0,0
Section 1,PL093_234,1,1,1,1,2,1,0,0,0,0
Section 2,PL093_234,2,1,1,0,2,1,0,0,0,0
Section 3,PL093_234,3,1,1,1,5,3,0,0,0,2
Section 4,PL093_234,4,1,1,0,0,1,0,0,0,0
Section 5,PL093_234,5,0,0,0,0,0,0,0,0,0
Section 6,PL093_234,6,0,0,0,1,1,0,0,0,0
Section 7,PL093_234,7,0,0,0,0,0,0,0,0,0
Section 8,PL093_234,8,0,0,0,0,0,0,0,0,0
Section 9,PL093_234,9,0,1,2,1,1,0,0,0,0
Section 10,PL093_234,10,7,12,5,13,19,0,0,0,0
Section 11,PL093_234,11,0,1,1,0,0,0,0,0,0
Section 12,PL093_234,12,0,1,1,0,0,0,0,0,0
Section 0,PL102_550_4044,0,0,0,0,0,0,0,0,0,0
Section 1,PL102_550_4044,1,0,0,1,0,0,0,0,0,0
Section 2,PL102_550_4044,2,1,0,0,2,1,0,0,0,0
Section 3,PL102_550_4044,3,4,2,0,15,8,0,0,0,0
Section 4,PL102_550_4044,4,2,1,0,7,4,0,0,0,0
Section 5,PL102_550_4044,5,2,2,2,18,13,0,0,0,0
Section 6,PL102_550_4044,6,4,6,6,11,13,0,0,0,0
Section 7,PL102_550_4044,7,0,0,0,0,0,0,0,0,0
Section 8,PL102_550_4044,8,0,0,0,0,0,1,1,0,0
Section 9,PL102_550_4044,9,0,1,0,1,0,0,0,0,0
Section 10,PL102_550_4044,10,5,1,1,2,5,0,0,3,0
Section 11,PL102_550_4044,11,0,1,0,0,0,0,0,0,0
Section 12,PL102_550_4044,12,0,0,0,0,0,0,0,0,0
Section 13,PL102_550_4044,13,0,0,1,0,0,0,0,0,0
Section 14,PL102_550_4044,14,6,0,0,4,6,0,0,3,0
Section 15,PL102_550_4044,15,0,0,0,0,0,0,0,0,0
Section 16,PL102_550_4044,16,0,2,1,0,0,2,2,0,0
Section 17,PL102_550_4044,17,1,0,0,0,1,0,0,0,0
Section 18,PL102_550_4044,18,5,1,1,2,6,0,0,1,0
Section 19,PL102_550_4044,19,1,1,1,1,1,1,1,1,0
Section 20,PL102_550_4044,20,1,3,0,1,2,0,0,0,0
Section 21,PL102_550_4044,21,2,0,2,2,4,1,1,0,0
Section 22,PL102_550_4044,22,0,0,0,0,0,0,0,0,0
Section 23,PL102_550_4044,23,1,0,1,0,1,0,0,1,0
Section 24,PL102_550_4044,24,0,0,0,0,0,0,0,0,0
Section 25,PL102_550_4044,25,0,1,0,0,0,0,0,0,0
Section 26,PL102_550_4044,26,0,0,0,0,0,0,0,0,0
Section 27,PL102_550_4044,27,0,0,0,0,0,0,0,0,0
Section 28,PL102_550_4044,28,0,0,0,1,1,0,0,0,0
Section 29,PL102_550_4044,29,0,0,0,0,0,0,0,0,0
Section 30,PL102_550_4044,30,0,0,0,1,1,0,0,0,0
Section 31,PL102_550_4044,31,0,0,0,0,0,0,0,0,0
Section 32,PL102_550_4044,32,0,0,0,0,0,0,0,0,0
Section 33,PL102_550_4044,33,1,1,1,1,2,0,0,0,0
Section 34,PL102_550_4044,34,6,3,1,4,9,0,0,1,0
Section 35,PL102_550_4044,35,0,0,0,0,0,0,0,0,0
Section 36,PL102_550_4044,36,0,2,1,0,0,0,0,0,0
Section 37,PL102_550_4044,37,0,0,1,0,0,0,0,0,0
Section 38,PL102_550_4044,38,0,1,2,0,0,0,0,0,0
Section 39,PL102_550_4044,39,0,0,0,3,0,0,0,0,0
Section 40,PL102_550_4044,40,0,2,2,1,1,0,0,0,0
Section 41,PL102_550_4044,41,1,2,0,0,1,0,0,0,0
Section 42,PL102_550_4044,42,0,0,1,1,0,1,1,0,0
Section 43,PL102_550_4044,43,0,2,1,2,0,0,0,0,0
Section 44,PL102_550_4044,44,1,1,0,2,2,0,0,0,0
Section 45,PL102_550_4044,45,2,0,1,2,3,0,0,1,0
Section 0,CHPT_106,0,3,4,3,14,17,0,0,0,0
Section 1,CHPT_106,1,0,1,0,1,1,0,0,0,0
Section 2,CHPT_106,2,0,0,1,1,1,0,0,0,0
Section 3,CHPT_106,3,0,2,1,1,1,0,0,0,0
Section 4,CHPT_106,4,0,0,0,5,5,0,0,0,0
Section 5,CHPT_106,5,0,1,0,0,0,0,0,0,0
Section 6,CHPT_106,6,1,1,1,2,2,1,1,1,0
Section 7,CHPT_106,7,0,2,0,3,2,0,0,0,1
Section 8,CHPT_106,8,0,2,1,4,4,0,0,0,0
Section 9,CHPT_106,9,0,0,1,2,2,0,0,0,0
Section 10,CHPT_106,10,2,1,2,5,4,0,0,0,1
Section 11,CHPT_106,11,1,0,0,4,3,0,0,1,1
Section 12,CHPT_106,12,0,0,2,3,3,0,0,0,0
Section 13,CHPT_106,13,0,1,1,2,1,0,0,0,1
Section 14,CHPT_106,14,0,1,0,0,0,0,0,0,0
Section 15,CHPT_106,15,1,0,1,1,1,0,0,1,0
Section 16,CHPT_106,16,1,0,1,2,2,1,1,1,0
Section 17,CHPT_106,17,0,0,0,3,3,0,0,0,0
Section 18,CHPT_106,18,1,0,0,2,2,0,0,0,0
Section 19,CHPT_106,19,1,0,0,1,2,0,0,0,0
Section 20,CHPT_106,20,1,2,1,1,1,1,1,1,0
Section 21,CHPT_106,21,0,0,2,2,2,0,0,0,0
Section 22,CHPT_106,22,0,0,0,3,3,0,0,0,0
Section 23,CHPT_106,23,0,0,0,2,2,0,0,0,0
Section 24,CHPT_106,24,0,1,1,3,2,0,0,0,1
Section 25,CHPT_106,25,0,1,0,1,1,0,0,0,0
Section 26,CHPT_106,26,2,6,0,7,7,0,0,0,0
Section 27,CHPT_106,27,2,1,1,4,4,2,2,2,0
Section 28,CHPT_106,28,1,1,1,2,2,0,0,0,0
Section 29,CHPT_106,29,0,0,1,1,1,0,0,0,0
Section 30,CHPT_106,30,3,0,1,3,6,0,0,1,0
Section 31,CHPT_106,31,0,0,1,1,1,0,0,0,0
Section 32,CHPT_106,32,0,0,0,1,1,0,0,0,0
Section 33,CHPT_106,33,0,0,0,1,1,0,0,0,0
Section 34,CHPT_106,34,0,0,1,3,3,0,0,0,0
Section 35,CHPT_106,35,0,1,0,0,0,0,0,0,0
Section 36,CHPT_106,36,0,0,1,1,1,0,0,0,0
Section 37,CHPT_106,37,0,3,2,3,3,0,0,0,0
Section 38,CHPT_106,38,0,0,1,2,2,0,0,0,0
Section 39,CHPT_106,39,0,0,0,3,2,0,0,0,0
Section 40,CHPT_106,40,2,0,2,5,3,2,2,2,0
Section 41,CHPT_106,41,2,0,0,2,3,1,1,2,0
Section 42,CHPT_106,42,1,4,2,12,11,1,1,1,0
Section 43,CHPT_106,43,0,0,1,3,3,0,0,0,0
Section 44,CHPT_106,44,0,2,0,1,1,0,0,0,0
Section 45,CHPT_106,45,0,1,0,0,0,0,0,0,0
Section 46,CHPT_106,46,0,0,0,1,1,0,0,0,0
Section 47,CHPT_106,47,0,0,0,2,1,0,0,0,0
Section 48,CHPT_106,48,0,0,0,1,1,0,0,0,0
Section 49,CHPT_106,49,0,1,0,0,0,0,0,0,0
Section 50,CHPT_106,50,0,1,0,0,0,0,0,0,0
Section 51,CHPT_106,51,0,0,2,4,2,0,0,0,0
Section 52,CHPT_106,52,0,1,0,0,0,0,0,0,0
Section 53,CHPT_106,53,0,1,0,0,0,0,0,0,0
Section 54,CHPT_106,54,0,0,1,1,1,0,0,0,0
Section 0,PL103_204,0,0,0,1,0,0,0,0,0,0
Section 1,PL103_204,1,1,2,1,1,2,0,0,0,0
Section 2,PL103_204,2,28,10,4,27,37,2,2,5,1
Section 3,PL103_204,3,0,2,0,3,3,0,0,0,0
Section 4,PL103_204,4,1,4,1,2,2,0,0,0,0
Section 5,PL103_204,5,4,1,2,6,7,0,0,0,1
Section 6,PL103_204,6,0,0,0,1,1,0,0,0,0
Section 7,PL103_204,7,1,2,1,8,5,1,1,0,3
Section 8,PL103_204,8,0,0,0,1,0,0,0,0,0
Section 9,PL103_204,9,2,0,0,1,2,0,0,2,0
Section 10,PL103_204,10,0,2,1,0,0,0,0,0,0
Section 11,PL103_204,11,0,2,0,0,0,0,0,0,0
Section 12,PL103_204,12,0,0,0,1,0,0,0,0,0
Section 13,PL103_204,13,17,9,2,18,29,0,0,7,0
Section 14,PL103_204,14,2,2,0,4,2,0,0,2,0
Section 15,PL103_204,15,0,0,0,2,2,0,0,0,0
Section 16,PL103_204,16,0,0,0,6,4,0,0,0,0
Section 17,PL103_204,17,0,0,0,0,0,0,0,0,0
Section 18,PL103_204,18,5,0,0,2,7,0,0,0,0
Section 19,PL103_204,19,3,8,2,9,7,1,1,2,0
Section 20,PL103_204,20,0,1,0,1,1,0,0,0,0
Section 21,PL103_204,21,1,0,0,1,2,0,0,0,0
Section 22,PL103_204,22,0,0,0,0,0,0,0,0,0
Section 23,PL103_204,23,3,0,0,2,4,0,0,0,0
Section 24,PL103_204,24,0,0,0,0,0,0,0,0,0
Section 25,PL103_204,25,0,1,3,0,0,0,0,0,0
Section 26,PL103_204,26,2,0,0,1,3,1,1,1,0
Section 27,PL103_204,27,0,0,0,1,1,0,0,0,0
Section 28,PL103_204,28,6,0,0,0,6,0,0,2,0
Section 29,PL103_204,29,0,0,0,0,0,0,0,0,0
Section 30,PL103_204,30,1,1,0,1,2,0,0,0,0
Section 31,PL103_204,31,1,0,1,1,2,1,1,1,0
Section 32,PL103_204,32,4,2,0,4,4,2,2,2,0
Section 33,PL103_204,33,0,2,1,1,1,0,0,0,0
Section 34,PL103_204,34,0,0,0,0,0,0,0,0,0
Section 35,PL103_204,35,0,1,0,0,0,0,0,0,0
Section 36,PL103_204,36,1,0,0,1,1,0,0,0,1
Section 37,PL103_204,37,1,0,0,0,1,0,0,0,0
Section 38,PL103_204,38,0,0,1,2,1,0,0,0,0
Section 39,PL103_204,39,0,1,1,0,0,0,0,0,0
Section 40,PL103_204,40,0,1,0,0,0,0,0,0,0
Section 0,PL084_511,0,1,2,3,3,3,0,0,0,0
Section 1,PL084_511,1,3,4,1,3,6,0,0,0,0
Section 2,PL084_511,2,0,3,0,2,1,0,0,0,0
Section 3,PL084_511,3,3,0,3,3,5,1,1,1,0
Section 4,PL084_511,4,0,3,0,1,1,0,0,0,0
Section 5,PL084_511,5,0,1,0,0,0,0,0,0,0
Section 6,PL084_511,6,0,2,0,1,1,0,0,0,0
Section 7,PL084_511,7,2,0,0,4,4,0,0,1,0
Section 8,PL084_511,8,0,0,0,0,0,0,0,0,0
Section 9,PL084_511,9,0,15,3,8,4,0,0,0,0
Section 10,PL084_511,10,0,2,1,3,3,0,0,0,0
Section 11,PL084_511,11,1,2,2,2,2,0,0,0,0
Section 12,PL084_511,12,0,1,0,1,1,0,0,0,0
Section 13,PL084_511,13,0,1,0,0,0,0,0,0,0
Section 0,PL108_100,0,0,0,2,0,0,0,0,0,0
Section 1,PL108_100,1,1,0,1,0,0,0,0,0,0
Section 2,PL108_100,2,1,0,1,8,2,0,0,0,1
Section 3,PL108_100,3,0,1,1,4,3,0,0,0,0
Section 4,PL108_100,4,0,0,0,1,1,0,0,0,0
Section 5,PL108_100,5,2,2,1,5,5,0,0,0,0
Section 6,PL108_100,6,1,9,4,8,4,2,2,0,1
Section 7,PL108_100,7,2,2,2,6,2,3,3,0,2
Section 8,PL108_100,8,1,0,1,1,1,0,0,1,0
Section 9,PL108_100,9,0,0,0,3,3,0,0,0,0
Section 10,PL108_100,10,0,0,1,2,0,0,0,0,0
Section 11,PL108_100,11,1,1,1,7,5,2,2,1,1
Section 12,PL108_100,12,0,0,0,1,1,0,0,0,0
Section 13,PL108_100,13,0,0,2,0,0,0,0,0,0
Section 14,PL108_100,14,0,0,1,0,0,0,0,0,0
Section 15,PL108_100,15,1,1,0,0,1,0,0,0,0
Section 16,PL108_100,16,1,0,0,0,1,0,0,0,0
Section 17,PL108_100,17,1,0,1,2,2,0,0,0,0
Section 18,PL108_100,18,5,2,6,7,8,2,2,1,0
Section 19,PL108_100,19,1,0,0,0,1,0,0,0,0
Section 0,PL093_495_1511,0,0,0,0,0,0,0,0,0,0
Section 1,PL093_495_1511,1,8,28,15,43,29,1,1,4,4
Section 2,PL093_495_1511,2,0,1,0,0,0,0,0,0,0
Section 3,PL093_495_1511,3,0,0,0,0,0,0,0,0,0
Section 4,PL093_495_1511,4,0,1,0,0,0,0,0,0,0
Section 5,PL093_495_1511,5,0,0,0,1,1,0,0,0,0
Section 0,PL094_239,0,0,0,2,0,0,0,0,0,0
Section 1,PL094_239,1,7,13,8,14,15,1,1,0,0
Section 2,PL094_239,2,0,1,0,1,1,0,0,0,0
Section 3,PL094_239,3,0,0,0,1,1,0,0,0,0
Section 4,PL094_239,4,0,0,0,0,0,0,0,0,0
Section 0,PL073_066,0,0,0,0,1,1,0,0,0,0
Section 1,PL073_066,1,1,0,0,3,3,0,0,0,0
Section 2,PL073_066,2,1,0,4,3,4,0,0,0,0
Section 3,PL073_066,3,0,0,0,2,2,0,0,0,0
Section 4,PL073_066,4,9,7,8,28,33,3,3,2,2
Section 5,PL073_066,5,0,0,0,0,0,0,0,0,0
Section 6,PL073_066,6,24,31,23,85,88,1,1,6,7
Section 7,PL073_066,7,3,5,2,10,10,0,0,1,1
Section 8,PL073_066,8,0,0,0,0,0,0,0,0,0
Section 9,PL073_066,9,4,4,3,6,9,0,0,0,0
Section 10,PL073_066,10,0,0,0,0,0,0,0,0,0
Section 11,PL073_066,11,0,3,0,0,0,0,0,0,0
Section 12,PL073_066,12,0,0,0,1,1,0,0,0,0
Section 13,PL073_066,13,1,8,8,12,10,1,1,1,2
Section 14,PL073_066,14,0,2,0,0,0,0,0,0,0
Section 15,PL073_066,15,0,1,0,1,1,0,0,0,0
Section 16,PL073_066,16,2,0,2,7,7,0,0,1,1
Section 17,PL073_066,17,2,6,6,13,10,1,1,2,1
Section 18,PL073_066,18,0,1,1,1,1,0,0,0,0
Section 19,PL073_066,19,0,1,0,1,0,0,0,0,1
Section 20,PL073_066,20,0,0,0,0,0,0,0,0,0
Section 21,PL073_066,21,0,0,0,1,1,0,0,0,0
Section 22,PL073_066,22,0,1,0,0,0,0,0,0,0
Section 0,PL098_181_1278,0,14,3,4,9,21,3,3,4,0
Section 1,PL098_181_1278,1,7,7,10,12,14,1,1,1,0
Section 0,PL103_328,0,0,0,2,0,0,0,0,0,0
Section 1,PL103_328,1,3,11,3,9,7,0,0,0,0
Section 2,PL103_328,2,0,0,0,0,0,0,0,0,0
Section 3,PL103_328,3,3,15,13,24,13,0,0,0,0
Section 4,PL103_328,4,0,0,0,0,0,0,0,0,0
Section 5,PL103_328,5,0,1,1,2,1,0,0,0,0
Section 6,PL103_328,6,1,3,0,3,4,0,0,0,0
Section 7,PL103_328,7,1,3,5,3,2,0,0,1,0
Section 8,PL103_328,8,0,1,2,1,1,0,0,0,0
Section 9,PL103_328,9,2,0,0,3,3,1,1,1,1
Section 10,PL103_328,10,0,0,0,0,0,0,0,0,0
Section 11,PL103_328,11,3,5,0,4,6,0,0,0,0
Section 12,PL103_328,12,0,0,0,0,0,0,0,0,0
Section 13,PL103_328,13,2,3,0,0,2,0,0,0,0
Section 14,PL103_328,14,5,2,0,4,7,0,0,0,1
Section 15,PL103_328,15,6,0,0,4,6,0,0,5,0
Section 16,PL103_328,16,0,0,0,1,1,0,0,0,0
Section 17,PL103_328,17,1,1,0,1,1,0,0,1,0
Section 18,PL103_328,18,1,1,0,3,3,0,0,0,0
Section 19,PL103_328,19,0,0,0,0,0,0,0,0,0
Section 20,PL103_328,20,1,3,1,0,1,0,0,0,0
Section 21,PL103_328,21,0,2,0,0,0,0,0,0,0
Section 22,PL103_328,22,0,2,0,0,0,0,0,0,0
Section 23,PL103_328,23,0,0,2,3,1,0,0,0,0
Section 24,PL103_328,24,9,1,5,13,21,0,0,1,0
Section 25,PL103_328,25,4,5,2,11,15,0,0,0,0
Section 26,PL103_328,26,5,5,2,9,14,0,0,0,0
Section 27,PL103_328,27,8,1,2,13,20,0,0,1,0
Section 28,PL103_328,28,5,2,6,11,16,0,0,0,0
Section 29,PL103_328,29,0,1,1,3,3,0,0,0,0
Section 30,PL103_328,30,5,1,2,2,7,0,0,2,0
Section 31,PL103_328,31,0,0,0,0,0,0,0,0,0
Section 0,PL107_056,0,0,0,0,0,0,0,0,0,0
Section 1,PL107_056,1,0,0,1,0,0,0,0,0,0
Section 2,PL107_056,2,1,2,1,1,0,0,0,0,0
Section 3,PL107_056,3,0,1,0,1,1,0,0,0,0
Section 4,PL107_056,4,5,3,7,8,10,5,5,0,0
Section 5,PL107_056,5,3,2,0,6,6,1,1,2,1
Section 6,PL107_056,6,2,2,2,0,2,0,0,0,0
Section 7,PL107_056,7,2,4,2,2,2,1,1,0,1
Section 8,PL107_056,8,0,0,0,0,0,0,0,0,0
Section 9,PL107_056,9,0,2,2,1,1,0,0,0,0
Section 10,PL107_056,10,0,0,3,2,2,0,0,0,0
Section 11,PL107_056,11,0,0,0,0,0,0,0,0,0
Section 12,PL107_056,12,5,5,7,12,10,0,0,0,1
Section 13,PL107_056,13,0,0,0,1,0,0,0,0,0
Section 14,PL107_056,14,1,0,0,1,1,0,0,1,0
Section 15,PL107_056,15,0,0,1,0,0,0,0,0,0
Section 16,PL107_056,16,0,1,1,1,1,0,0,0,0
Section 17,PL107_056,17,0,1,0,0,0,0,0,0,0
Section 18,PL107_056,18,0,1,1,1,0,0,0,0,1
Section 19,PL107_056,19,4,0,1,4,6,0,0,2,0
Section 20,PL107_056,20,0,2,0,2,2,0,0,0,0
Section 21,PL107_056,21,1,0,0,1,1,0,0,1,0
Section 22,PL107_056,22,0,1,0,2,1,0,0,0,0
Section 23,PL107_056,23,0,0,2,0,0,0,0,0,0
Section 24,PL107_056,24,0,5,1,1,0,0,0,0,1
Section 25,PL107_056,25,2,1,0,1,3,0,0,0,0
Section 26,PL107_056,26,1,0,0,1,1,0,0,1,0
Section 27,PL107_056,27,0,0,0,0,0,0,0,0,0
Section 28,PL107_056,28,0,2,2,0,0,0,0,0,0
Section 29,PL107_056,29,3,1,0,2,3,2,2,2,0
Section 30,PL107_056,30,2,0,0,1,2,0,0,1,0
Section 31,PL107_056,31,6,1,4,6,7,2,2,1,0
Section 32,PL107_056,32,1,0,0,1,2,0,0,0,0
Section 33,PL107_056,33,0,0,0,1,0,1,1,0,0
Section 34,PL107_056,34,2,0,4,3,5,0,0,0,0
Section 35,PL107_056,35,2,0,1,1,2,1,1,2,0
Section 36,PL107_056,36,0,1,0,1,1,0,0,0,0
Section 37,PL107_056,37,0,0,5,3,1,0,0,0,0
Section 38,PL107_056,38,1,3,1,5,3,1,1,1,0
Section 39,PL107_056,39,2,0,0,4,2,0,0,1,0
Section 40,PL107_056,40,1,1,4,6,6,0,0,0,0
Section 41,PL107_056,41,1,0,1,1,2,0,0,0,0
Section 42,PL107_056,42,0,1,0,1,0,0,0,0,0
Section 43,PL107_056,43,0,1,1,1,0,0,0,0,0
Section 44,PL107_056,44,0,0,0,1,0,0,0,0,0
Section 45,PL107_056,45,0,0,0,0,0,0,0,0,0
Section 46,PL107_056,46,0,0,0,1,1,0,0,0,0
Section 0,PL104_208,0,0,0,0,0,0,0,0,0,0
Section 1,PL104_208,1,0,0,2,1,1,0,0,0,0
Section 2,PL104_208,2,4,1,3,3,1,0,0,0,0
Section 3,PL104_208,3,2,0,2,3,3,0,0,1,0
Section 4,PL104_208,4,0,1,0,1,1,0,0,0,0
Section 5,PL104_208,5,1,2,1,3,3,0,0,0,1
Section 6,PL104_208,6,0,0,1,1,0,0,0,0,0
Section 7,PL104_208,7,0,0,1,0,0,0,0,0,0
Section 8,PL104_208,8,1,0,0,1,1,1,1,1,0
Section 9,PL104_208,9,0,0,0,1,1,0,0,0,0
Section 10,PL104_208,10,0,1,0,0,0,0,0,0,0
Section 11,PL104_208,11,4,1,0,2,4,0,0,0,1
Section 12,PL104_208,12,0,0,0,0,0,0,0,0,0
Section 13,PL104_208,13,0,0,0,0,0,0,0,0,0
Section 14,PL104_208,14,0,0,0,0,0,0,0,0,0
Section 15,PL104_208,15,0,1,0,1,0,0,0,0,0
Section 16,PL104_208,16,0,0,0,0,0,0,0,0,0
Section 17,PL104_208,17,3,1,2,6,2,0,0,0,0
Section 18,PL104_208,18,0,0,0,1,0,0,0,0,0
Section 19,PL104_208,19,0,1,2,0,0,1,1,0,0
Section 20,PL104_208,20,0,2,0,0,0,0,0,0,0
Section 21,PL104_208,21,0,0,0,1,1,0,0,0,0
Section 22,PL104_208,22,0,1,0,0,0,0,0,0,0
Section 23,PL104_208,23,3,2,6,2,4,0,0,0,0
Section 24,PL104_208,24,0,1,0,0,0,0,0,0,0
Section 25,PL104_208,25,0,1,0,0,0,0,0,0,0
Section 26,PL104_208,26,0,2,0,2,0,0,0,0,2
Section 27,PL104_208,27,0,0,0,0,0,0,0,0,0
Section 28,PL104_208,28,1,1,0,3,4,0,0,0,0
Section 29,PL104_208,29,0,0,0,0,0,0,0,0,0
Section 30,PL104_208,30,0,0,0,0,0,0,0,0,0
Section 31,PL104_208,31,3,0,0,5,6,0,0,2,0
Section 32,PL104_208,32,0,0,0,1,1,0,0,0,0
Section 33,PL104_208,33,2,0,0,1,2,0,0,1,1
Section 34,PL104_208,34,0,0,1,0,0,0,0,0,0
Section 35,PL104_208,35,1,0,0,0,0,0,0,0,0
Section 36,PL104_208,36,0,0,0,1,1,0,0,0,0
Section 37,PL104_208,37,1,0,1,1,2,0,0,0,0
Section 38,PL104_208,38,0,2,0,1,1,0,0,0,0
Section 39,PL104_208,39,0,0,0,0,0,0,0,0,0
Section 40,PL104_208,40,2,2,3,2,4,0,0,0,0
Section 41,PL104_208,41,2,3,3,3,5,0,0,0,0
Section 42,PL104_208,42,0,1,3,3,3,0,0,0,0
Section 43,PL104_208,43,0,0,0,0,0,0,0,0,0
Section 44,PL104_208,44,1,1,0,0,1,0,0,0,0
Section 45,PL104_208,45,0,0,0,0,0,0,0,0,0
Section 46,PL104_208,46,0,1,1,0,0,0,0,0,0
Section 47,PL104_208,47,0,0,1,0,0,0,0,0,0
Section 48,PL104_208,48,0,1,2,4,2,0,0,0,0
Section 49,PL104_208,49,1,2,0,1,1,0,0,0,0
Section 50,PL104_208,50,2,9,0,1,3,0,0,0,0
Section 51,PL104_208,51,0,1,0,0,0,0,0,0,0
Section 52,PL104_208,52,2,0,0,5,6,0,0,0,0
Section 53,PL104_208,53,2,2,1,2,3,1,1,1,0
Section 54,PL104_208,54,9,0,1,9,11,1,1,6,1
Section 55,PL104_208,55,6,8,3,8,11,1,1,1,1
Section 56,PL104_208,56,0,0,0,0,0,0,0,0,0
Section 57,PL104_208,57,1,4,0,2,2,0,0,0,1
Section 58,PL104_208,58,1,2,1,2,1,0,0,0,2
Section 59,PL104_208,59,0,0,0,3,3,0,0,0,0
Section 60,PL104_208,60,0,0,0,0,0,0,0,0,0
Section 61,PL104_208,61,1,6,0,5,4,0,0,1,1
Section 62,PL104_208,62,2,4,0,1,2,0,0,1,0
Section 63,PL104_208,63,0,0,0,0,0,0,0,0,0
Section 64,PL104_208,64,1,2,2,3,2,1,1,1,0
Section 65,PL104_208,65,1,4,0,2,2,0,0,1,0
Section 66,PL104_208,66,0,0,1,0,0,0,0,0,0
Section 67,PL104_208,67,0,0,1,2,1,0,0,0,1
