name,citation,id,obligation,constraint,permission,entitlement,MandatoryDelegation,Permissive Delegation,PermissiveProvision,MandatoryProvision,Constraining Provision
Section 68,PL104_208,68,1,0,1,1,2,0,0,0,0
Section 69,PL104_208,69,0,0,0,1,1,0,0,0,0
Section 70,PL104_208,70,1,1,0,2,2,0,0,1,0
Section 71,PL104_208,71,0,0,0,0,0,0,0,0,0
Section 72,PL104_208,72,0,0,1,0,0,0,0,0,0
Section 73,PL104_208,73,0,0,0,3,0,0,0,0,0
Section 74,PL104_208,74,0,1,0,1,0,0,0,0,0
Section 75,PL104_208,75,0,1,0,1,0,0,0,0,0
Section 76,PL104_208,76,6,2,4,11,8,0,0,1,0
Section 77,PL104_208,77,0,0,1,2,1,0,0,0,0
Section 78,PL104_208,78,1,0,1,2,2,0,0,1,0
Section 79,PL104_208,79,0,2,0,1,1,0,0,0,0
Section 80,PL104_208,80,0,0,2,2,2,0,0,0,0
Section 81,PL104_208,81,2,1,0,5,6,0,0,1,0
Section 82,PL104_208,82,0,0,0,1,0,1,1,0,0
Section 83,PL104_208,83,0,1,0,0,0,0,0,0,0
Section 84,PL104_208,84,1,0,0,0,1,0,0,0,0
Section 85,PL104_208,85,0,1,0,0,0,0,0,0,0
Section 86,PL104_208,86,0,0,1,0,0,0,0,0,0
Section 87,PL104_208,87,0,3,1,3,0,0,0,0,0
Section 88,PL104_208,88,2,0,0,2,4,0,0,0,0
Section 89,PL104_208,89,1,0,1,6,6,0,0,0,0
Section 90,PL104_208,90,0,1,0,0,0,0,0,0,0
Section 91,PL104_208,91,1,1,1,2,3,0,0,0,0
Section 92,PL104_208,92,0,0,0,2,2,0,0,0,0
Section 93,PL104_208,93,1,0,0,3,2,0,0,0,0
Section 94,PL104_208,94,0,0,0,2,0,0,0,0,0
Section 95,PL104_208,95,0,0,0,2,1,0,0,0,0
Section 96,PL104_208,96,3,2,5,4,5,1,1,1,0
Section 97,PL104_208,97,1,0,0,3,3,0,0,0,0
Section 98,PL104_208,98,0,0,0,1,0,0,0,0,1
Section 99,PL104_208,99,0,0,0,0,0,0,0,0,0
Section 100,PL104_208,100,0,0,0,2,2,0,0,0,0
Section 101,PL104_208,101,0,1,0,1,0,0,0,0,1
Section 102,PL104_208,102,1,0,3,2,1,0,0,0,0
Section 103,PL104_208,103,0,0,0,0,0,0,0,0,0
Section 104,PL104_208,104,0,0,4,0,0,0,0,0,0
Section 105,PL104_208,105,1,0,0,0,1,0,0,0,0
Section 106,PL104_208,106,1,4,2,3,2,0,0,0,0
Section 107,PL104_208,107,0,0,1,0,0,0,0,0,0
Section 108,PL104_208,108,3,4,1,15,14,1,1,0,0
Section 109,PL104_208,109,2,2,2,2,3,0,0,0,0
Section 110,PL104_208,110,2,1,1,12,13,0,0,0,0
Section 111,PL104_208,111,0,1,0,3,3,1,1,0,0
Section 112,PL104_208,112,1,1,2,1,1,0,0,1,0
Section 113,PL104_208,113,0,2,0,0,0,0,0,0,0
Section 114,PL104_208,114,0,2,0,0,0,0,0,0,0
Section 115,PL104_208,115,2,0,0,1,3,0,0,0,0
Section 116,PL104_208,116,1,0,0,4,1,0,0,0,0
Section 117,PL104_208,117,0,1,0,0,0,0,0,0,0
Section 118,PL104_208,118,1,3,1,2,3,0,0,0,0
Section 0,PL095_630_3697,0,0,0,0,0,0,0,0,0,0
Section 1,PL095_630_3697,1,0,0,1,0,0,0,0,0,0
Section 2,PL095_630_3697,2,0,0,1,1,0,0,0,0,0
Section 3,PL095_630_3697,3,2,1,3,3,3,0,0,0,0
Section 4,PL095_630_3697,4,3,1,1,3,5,0,0,1,0
Section 5,PL095_630_3697,5,0,2,1,2,2,0,0,0,0
Section 6,PL095_630_3697,6,0,2,2,5,2,0,0,0,1
Section 7,PL095_630_3697,7,0,8,2,2,2,0,0,0,0
Section 8,PL095_630_3697,8,1,0,3,6,5,2,2,1,1
Section 9,PL095_630_3697,9,2,6,3,8,8,1,1,0,0
Section 10,PL095_630_3697,10,1,0,0,1,1,0,0,1,0
Section 11,PL095_630_3697,11,8,4,7,11,14,0,0,4,0
Section 12,PL095_630_3697,12,8,1,1,2,9,0,0,2,0
Section 13,PL095_630_3697,13,2,0,1,2,3,0,0,1,0
Section 14,PL095_630_3697,14,0,0,1,0,0,0,0,0,0
Section 15,PL095_630_3697,15,3,1,3,4,5,0,0,1,0
Section 16,PL095_630_3697,16,0,0,0,1,1,0,0,0,0
Section 17,PL095_630_3697,17,3,2,1,2,4,0,0,0,0
Section 0,PL108_159,0,1,0,1,0,0,0,0,0,0
Section 1,PL108_159,1,0,0,0,1,0,0,0,0,0
Section 2,PL108_159,2,0,0,1,1,1,0,0,0,0
Section 3,PL108_159,3,0,0,2,5,0,0,0,0,0
Section 4,PL108_159,4,5,7,2,5,6,0,0,1,2
Section 5,PL108_159,5,1,1,0,1,2,0,0,0,0
Section 6,PL108_159,6,3,0,0,4,4,0,0,3,1
Section 7,PL108_159,7,0,1,0,0,0,0,0,0,0
Section 8,PL108_159,8,7,2,3,9,11,1,1,2,0
Section 9,PL108_159,9,2,4,1,5,6,0,0,1,0
Section 10,PL108_159,10,1,0,0,2,2,0,0,0,0
Section 11,PL108_159,11,3,2,0,3,4,0,0,1,0
Section 12,PL108_159,12,0,1,1,1,1,0,0,0,0
Section 13,PL108_159,13,0,1,0,0,0,0,0,0,0
Section 14,PL108_159,14,3,0,1,1,3,1,1,2,0
Section 15,PL108_159,15,9,4,3,11,13,1,1,5,5
Section 16,PL108_159,16,5,6,6,19,9,1,1,2,5
Section 17,PL108_159,17,1,2,0,6,2,0,0,0,2
Section 18,PL108_159,18,7,6,5,12,12,3,3,5,2
Section 19,PL108_159,19,3,2,0,1,4,0,0,0,0
Section 20,PL108_159,20,2,0,1,3,2,0,0,2,1
Section 21,PL108_159,21,5,2,2,7,6,1,1,3,3
Section 22,PL108_159,22,3,1,1,7,5,1,1,2,2
Section 23,PL108_159,23,8,6,0,11,11,2,2,6,0
Section 24,PL108_159,24,3,2,1,3,5,0,0,2,1
Section 25,PL108_159,25,0,1,0,1,1,0,0,0,0
Section 26,PL108_159,26,1,0,0,3,3,0,0,0,0
Section 27,PL108_159,27,1,1,0,4,3,0,0,1,1
Section 28,PL108_159,28,0,0,0,1,1,0,0,0,0
Section 29,PL108_159,29,3,1,2,2,4,0,0,1,0
Section 30,PL108_159,30,2,0,0,3,4,1,1,1,0
Section 31,PL108_159,31,2,6,2,3,4,0,0,2,0
Section 32,PL108_159,32,2,2,1,2,2,0,0,0,0
Section 33,PL108_159,33,0,0,1,0,0,0,0,0,0
Section 34,PL108_159,34,0,0,0,0,0,0,0,0,0
Section 35,PL108_159,35,3,1,3,4,7,0,0,0,0
Section 36,PL108_159,36,10,3,0,6,13,0,0,2,0
Section 37,PL108_159,37,3,0,3,1,3,0,0,0,0
Section 38,PL108_159,38,2,0,1,3,4,0,0,0,0
Section 39,PL108_159,39,3,0,1,2,4,0,0,1,0
Section 40,PL108_159,40,2,1,1,4,6,0,0,0,0
Section 41,PL108_159,41,0,0,1,0,0,0,0,0,0
Section 42,PL108_159,42,0,1,0,1,0,0,0,0,0
Section 43,PL108_159,43,1,0,0,0,0,0,0,0,0
Section 44,PL108_159,44,0,0,0,1,1,0,0,0,0
Section 0,PL116_283,0,0,0,1,1,0,0,0,0,0
Section 1,PL116_283,1,0,0,1,0,0,0,0,0,0
Section 2,PL116_283,2,0,0,0,1,1,0,0,0,0
Section 3,PL116_283,3,0,0,0,5,0,0,0,0,0
Section 4,PL116_283,4,5,0,1,6,7,0,0,1,0
Section 5,PL116_283,5,0,0,1,1,1,0,0,0,0
Section 6,PL116_283,6,1,1,2,2,3,0,0,0,0
Section 7,PL116_283,7,0,0,0,1,1,0,0,0,0
Section 8,PL116_283,8,1,0,2,3,3,0,0,0,0
Section 9,PL116_283,9,1,1,1,3,3,0,0,0,0
Section 10,PL116_283,10,4,1,2,12,8,3,3,2,2
Section 11,PL116_283,11,1,1,0,1,1,0,0,0,0
Section 12,PL116_283,12,2,1,1,3,4,0,0,0,0
Section 13,PL116_283,13,3,0,1,3,5,0,0,1,0
Section 14,PL116_283,14,2,0,1,1,2,0,0,1,0
Section 15,PL116_283,15,1,0,0,0,1,0,0,0,0
Section 16,PL116_283,16,2,0,0,3,5,0,0,1,0
Section 17,PL116_283,17,1,1,0,6,3,1,1,1,1
Section 18,PL116_283,18,5,0,0,1,5,1,1,0,1
Section 19,PL116_283,19,4,0,2,1,3,1,1,1,0
Section 20,PL116_283,20,3,0,0,2,4,0,0,3,0
Section 21,PL116_283,21,1,0,1,3,2,1,1,0,0
Section 22,PL116_283,22,1,0,2,5,4,0,0,0,0
Section 23,PL116_283,23,1,0,1,2,3,0,0,0,0
Section 24,PL116_283,24,1,2,2,2,2,0,0,1,0
Section 25,PL116_283,25,2,0,0,1,3,0,0,1,0
Section 26,PL116_283,26,2,0,4,3,5,0,0,0,0
Section 27,PL116_283,27,2,2,3,7,4,0,0,1,1
Section 28,PL116_283,28,1,0,1,1,1,0,0,0,0
Section 29,PL116_283,29,2,1,0,0,2,0,0,0,0
Section 30,PL116_283,30,6,2,0,0,6,0,0,5,0
Section 31,PL116_283,31,1,0,0,0,1,0,0,0,0
Section 32,PL116_283,32,1,0,0,2,1,1,1,0,0
Section 33,PL116_283,33,1,0,1,6,4,0,0,0,0
Section 34,PL116_283,34,0,0,1,2,2,0,0,0,0
Section 35,PL116_283,35,2,0,0,4,2,0,0,0,0
Section 36,PL116_283,36,3,0,0,1,3,0,0,2,0
Section 37,PL116_283,37,1,4,2,0,1,0,0,1,0
Section 38,PL116_283,38,1,0,1,1,2,0,0,1,0
Section 39,PL116_283,39,1,6,5,5,5,3,3,0,1
Section 40,PL116_283,40,1,1,0,1,1,0,0,0,0
Section 41,PL116_283,41,0,1,0,2,2,0,0,0,0
Section 42,PL116_283,42,0,0,1,1,1,0,0,0,0
Section 43,PL116_283,43,0,0,1,2,1,0,0,0,0
Section 44,PL116_283,44,2,2,2,3,5,0,0,0,0
Section 45,PL116_283,45,10,6,4,20,18,2,2,3,1
Section 46,PL116_283,46,0,0,1,0,0,0,0,0,0
Section 47,PL116_283,47,0,1,0,1,0,0,0,0,1
Section 48,PL116_283,48,33,13,9,39,41,7,7,9,8
Section 49,PL116_283,49,1,3,2,3,1,0,0,0,0
Section 50,PL116_283,50,3,0,0,3,5,0,0,1,0
Section 51,PL116_283,51,2,0,0,0,2,0,0,1,0
Section 52,PL116_283,52,0,0,0,1,0,0,0,0,1
Section 53,PL116_283,53,2,1,2,2,3,0,0,2,0
Section 54,PL116_283,54,3,0,0,1,3,2,2,2,0
Section 55,PL116_283,55,4,0,1,1,4,1,1,3,0
Section 56,PL116_283,56,2,0,0,0,2,0,0,0,0
Section 57,PL116_283,57,0,0,2,0,0,0,0,0,0
Section 58,PL116_283,58,0,0,0,0,0,0,0,0,0
Section 59,PL116_283,59,0,1,0,0,0,0,0,0,0
Section 60,PL116_283,60,0,0,1,0,0,0,0,0,0
Section 61,PL116_283,61,0,0,0,0,0,0,0,0,0
Section 0,PL069_639,0,0,0,0,0,0,0,0,0,0
Section 1,PL069_639,1,6,21,6,25,23,3,3,4,1
Section 2,PL069_639,2,0,0,0,0,0,0,0,0,0
Section 3,PL069_639,3,0,2,2,1,1,0,0,0,0
Section 4,PL069_639,4,0,0,1,1,1,0,0,0,0
Section 5,PL069_639,5,0,0,1,2,2,0,0,0,0
Section 6,PL069_639,6,0,1,0,0,0,0,0,0,0
Section 7,PL069_639,7,1,1,0,2,2,0,0,1,0
Section 8,PL069_639,8,0,0,0,1,0,0,0,0,0
Section 9,PL069_639,9,1,0,1,0,1,1,1,0,0
Section 0,PL109_171,0,0,0,0,0,0,0,0,0,0
Section 1,PL109_171,1,0,0,1,0,0,0,0,0,0
Section 2,PL109_171,2,1,1,0,2,3,0,0,0,0
Section 3,PL109_171,3,6,3,0,7,9,0,0,3,0
Section 4,PL109_171,4,3,3,2,12,11,1,1,2,1
Section 5,PL109_171,5,2,1,1,3,5,0,0,1,0
Section 6,PL109_171,6,3,0,2,1,3,0,0,1,0
Section 7,PL109_171,7,11,3,6,8,15,1,1,3,1
Section 8,PL109_171,8,2,0,1,2,4,0,0,0,0
Section 9,PL109_171,9,1,0,1,2,3,0,0,0,0
Section 0,PL081_797,0,0,0,0,0,0,0,0,0,0
Section 1,PL081_797,1,0,0,0,0,0,0,0,0,0
Section 2,PL081_797,2,0,0,0,1,1,0,0,0,0
Section 3,PL081_797,3,2,2,0,3,5,0,0,0,0
Section 4,PL081_797,4,0,1,2,6,2,0,0,0,2
Section 5,PL081_797,5,2,0,2,5,6,0,0,0,1
Section 6,PL081_797,6,0,0,0,2,1,0,0,0,0
Section 7,PL081_797,7,0,0,0,1,0,0,0,0,1
Section 8,PL081_797,8,11,11,10,41,34,1,1,4,6
Section 9,PL081_797,9,7,1,6,16,14,3,3,1,3
Section 10,PL081_797,10,9,15,8,41,40,2,2,4,3
Section 11,PL081_797,11,0,1,1,3,2,0,0,0,1
Section 12,PL081_797,12,0,1,0,1,1,0,0,0,0
Section 13,PL081_797,13,2,0,1,1,3,0,0,0,0
Section 14,PL081_797,14,5,1,3,6,11,0,0,0,0
Section 15,PL081_797,15,7,6,3,10,12,1,1,1,2
Section 16,PL081_797,16,0,1,0,1,1,0,0,0,0
Section 17,PL081_797,17,1,0,0,1,1,0,0,1,0
Section 18,PL081_797,18,0,0,0,1,1,0,0,0,0
Section 19,PL081_797,19,1,1,1,2,2,0,0,0,0
Section 0,PL109_173,0,0,0,1,0,0,0,0,0,0
Section 1,PL109_173,1,8,4,2,10,14,0,0,5,0
Section 2,PL109_173,2,1,0,0,1,2,0,0,1,0
Section 3,PL109_173,3,1,0,0,0,1,0,0,1,0
Section 4,PL109_173,4,1,1,0,1,1,0,0,1,0
Section 5,PL109_173,5,12,0,2,6,13,4,4,3,0
Section 6,PL109_173,6,0,0,0,0,0,0,0,0,0
Section 7,PL109_173,7,2,0,1,2,3,0,0,0,0
Section 8,PL109_173,8,3,2,2,6,8,0,0,1,0
Section 0,PL094_200,0,0,0,0,0,0,0,0,0,0
Section 1,PL094_200,1,0,0,0,0,0,0,0,0,0
Section 2,PL094_200,2,3,1,5,11,9,0,0,3,1
Section 3,PL094_200,3,0,0,2,2,1,0,0,0,0
Section 4,PL094_200,4,5,1,3,1,4,0,0,0,0
Section 0,PL095_369,0,0,1,1,1,1,0,0,0,0
Section 1,PL095_369,1,5,6,13,23,20,1,1,2,2
Section 2,PL095_369,2,0,1,1,3,1,0,0,0,0
Section 3,PL095_369,3,10,11,13,35,26,4,4,4,3
Section 4,PL095_369,4,2,3,4,7,4,1,1,1,0
Section 5,PL095_369,5,0,1,0,1,1,0,0,0,0
Section 6,PL095_369,6,1,0,0,2,2,0,0,0,0
Section 7,PL095_369,7,0,0,1,1,1,0,0,0,0
Section 8,PL095_369,8,0,0,3,1,0,1,1,0,1
Section 9,PL095_369,9,1,0,0,1,1,0,0,0,1
Section 0,PL106_102,0,0,0,2,0,0,0,0,0,0
Section 1,PL106_102,1,0,0,0,0,0,0,0,0,0
Section 2,PL106_102,2,0,0,0,1,0,0,0,0,0
Section 3,PL106_102,3,7,19,7,18,13,0,0,1,0
Section 4,PL106_102,4,3,7,10,11,3,0,0,1,3
Section 5,PL106_102,5,0,0,0,1,1,0,0,0,0
Section 6,PL106_102,6,0,0,0,0,0,0,0,0,0
Section 7,PL106_102,7,0,5,0,2,1,0,0,0,0
Section 8,PL106_102,8,2,0,0,3,3,1,1,0,0
Section 9,PL106_102,9,0,0,0,1,1,0,0,0,0
Section 10,PL106_102,10,4,4,1,8,7,1,1,1,1
Section 11,PL106_102,11,1,2,1,2,1,1,1,1,1
Section 12,PL106_102,12,2,0,1,3,3,0,0,1,0
Section 13,PL106_102,13,0,0,0,0,0,0,0,0,0
Section 14,PL106_102,14,0,1,0,3,0,0,0,0,0
Section 15,PL106_102,15,0,0,5,3,0,0,0,0,3
Section 16,PL106_102,16,2,1,1,5,3,0,0,0,0
Section 17,PL106_102,17,0,1,1,1,1,0,0,0,0
Section 18,PL106_102,18,0,0,0,1,0,0,0,0,0
Section 19,PL106_102,19,0,0,0,0,0,0,0,0,0
Section 20,PL106_102,20,0,0,0,0,0,0,0,0,0
Section 21,PL106_102,21,0,0,0,0,0,0,0,0,0
Section 22,PL106_102,22,6,14,5,14,14,0,0,0,0
Section 23,PL106_102,23,0,1,0,5,3,1,1,0,0
Section 24,PL106_102,24,0,0,1,0,0,0,0,0,0
Section 25,PL106_102,25,0,0,0,1,1,0,0,0,0
Section 26,PL106_102,26,1,1,2,4,4,0,0,0,1
Section 27,PL106_102,27,0,1,1,2,0,0,0,0,0
Section 28,PL106_102,28,0,0,1,1,1,0,0,0,0
Section 29,PL106_102,29,0,0,1,0,0,0,0,0,0
Section 30,PL106_102,30,0,1,0,0,0,0,0,0,0
Section 31,PL106_102,31,1,0,0,0,1,0,0,0,0
Section 32,PL106_102,32,0,6,0,1,0,0,0,0,0
Section 33,PL106_102,33,0,1,0,0,0,0,0,0,0
Section 34,PL106_102,34,0,1,0,0,0,0,0,0,0
Section 35,PL106_102,35,3,0,1,3,5,0,0,1,1
Section 36,PL106_102,36,4,2,1,6,8,0,0,0,1
Section 37,PL106_102,37,0,2,0,2,0,0,0,0,0
Section 38,PL106_102,38,0,0,1,1,1,0,0,0,0
Section 39,PL106_102,39,0,0,0,0,0,0,0,0,0
Section 40,PL106_102,40,1,0,0,0,1,0,0,0,0
Section 41,PL106_102,41,1,0,0,0,1,0,0,0,0
Section 42,PL106_102,42,0,0,2,0,0,0,0,0,0
Section 43,PL106_102,43,0,0,1,0,0,0,0,0,0
Section 44,PL106_102,44,0,0,0,3,0,0,0,0,0
Section 45,PL106_102,45,0,0,1,4,3,0,0,0,0
Section 46,PL106_102,46,0,0,0,0,0,0,0,0,0
Section 47,PL106_102,47,0,0,0,0,0,0,0,0,0
Section 48,PL106_102,48,0,1,1,0,0,0,0,0,0
Section 49,PL106_102,49,0,0,0,1,0,0,0,0,0
Section 50,PL106_102,50,0,0,0,0,0,0,0,0,0
Section 51,PL106_102,51,0,0,0,0,0,0,0,0,0
Section 52,PL106_102,52,3,0,1,5,6,0,0,0,1
Section 53,PL106_102,53,0,0,0,0,0,0,0,0,0
Section 54,PL106_102,54,0,0,0,0,0,0,0,0,0
Section 55,PL106_102,55,0,0,0,0,0,0,0,0,0
Section 56,PL106_102,56,1,0,0,1,1,0,0,1,0
Section 57,PL106_102,57,1,0,0,0,1,0,0,0,0
Section 58,PL106_102,58,10,5,3,11,12,2,2,3,1
Section 59,PL106_102,59,1,0,0,1,1,0,0,0,0
Section 60,PL106_102,60,0,0,0,1,1,0,0,0,0
Section 61,PL106_102,61,0,3,0,1,1,0,0,0,0
Section 62,PL106_102,62,0,4,3,1,1,0,0,0,0
Section 63,PL106_102,63,1,0,2,2,3,0,0,0,0
Section 64,PL106_102,64,0,0,0,0,0,0,0,0,0
Section 65,PL106_102,65,7,9,3,12,14,0,0,1,2
Section 66,PL106_102,66,0,1,0,0,0,0,0,0,0
Section 67,PL106_102,67,3,2,4,4,4,0,0,0,0
Section 68,PL106_102,68,0,0,0,0,0,0,0,0,0
Section 69,PL106_102,69,0,1,0,0,0,0,0,0,0
Section 70,PL106_102,70,2,1,4,6,6,1,1,1,0
Section 71,PL106_102,71,0,2,1,2,0,0,0,0,2
Section 72,PL106_102,72,1,1,0,1,1,0,0,0,0
Section 73,PL106_102,73,1,0,1,2,1,0,0,0,0
Section 74,PL106_102,74,1,0,0,0,1,0,0,0,0
Section 75,PL106_102,75,5,3,1,6,5,0,0,4,1
Section 76,PL106_102,76,0,1,0,0,0,0,0,0,0
Section 77,PL106_102,77,0,0,1,1,1,0,0,0,0
Section 78,PL106_102,78,0,0,0,1,1,0,0,0,0
Section 79,PL106_102,79,4,5,2,7,10,1,1,0,0
Section 80,PL106_102,80,2,1,0,6,8,0,0,0,0
Section 81,PL106_102,81,0,1,1,2,2,0,0,0,0
Section 82,PL106_102,82,7,7,3,6,10,2,2,0,2
Section 83,PL106_102,83,0,1,1,0,0,0,0,0,0
Section 84,PL106_102,84,2,0,0,2,4,1,1,0,0
Section 85,PL106_102,85,2,1,0,1,1,0,0,0,0
Section 86,PL106_102,86,4,4,0,2,4,0,0,1,1
Section 87,PL106_102,87,0,1,1,2,2,0,0,0,0
Section 88,PL106_102,88,0,0,0,2,2,0,0,0,0
Section 89,PL106_102,89,2,0,0,4,4,1,1,1,0
Section 90,PL106_102,90,0,0,0,3,2,0,0,0,0
Section 91,PL106_102,91,0,1,1,3,2,0,0,0,0
Section 92,PL106_102,92,0,0,3,2,1,0,0,0,0
Section 93,PL106_102,93,1,0,0,1,1,0,0,0,0
Section 94,PL106_102,94,0,5,2,3,0,0,0,0,2
Section 95,PL106_102,95,1,1,0,2,2,1,1,1,0
Section 96,PL106_102,96,1,1,2,1,2,0,0,1,0
Section 97,PL106_102,97,1,2,0,2,3,0,0,0,0
Section 98,PL106_102,98,2,0,0,2,3,0,0,0,0
Section 99,PL106_102,99,0,1,0,0,0,0,0,0,0
Section 100,PL106_102,100,4,1,1,1,4,1,1,2,0
Section 101,PL106_102,101,2,1,2,2,1,0,0,0,0
Section 102,PL106_102,102,1,0,0,1,1,0,0,1,0
Section 103,PL106_102,103,0,1,1,6,6,0,0,0,0
Section 104,PL106_102,104,0,0,1,3,3,0,0,0,0
Section 105,PL106_102,105,0,2,0,0,0,0,0,0,0
Section 106,PL106_102,106,0,1,0,0,0,0,0,0,0
Section 107,PL106_102,107,0,1,0,1,1,0,0,0,0
Section 108,PL106_102,108,2,0,0,0,2,0,0,0,0
Section 109,PL106_102,109,1,0,2,3,2,0,0,0,0
Section 110,PL106_102,110,0,0,1,0,0,0,0,0,0
Section 111,PL106_102,111,0,0,0,2,1,0,0,0,0
Section 112,PL106_102,112,1,0,1,0,1,0,0,0,0
Section 113,PL106_102,113,1,0,1,1,1,1,1,0,0
Section 114,PL106_102,114,0,1,0,0,0,0,0,0,0
Section 115,PL106_102,115,0,0,1,0,0,0,0,0,0
Section 116,PL106_102,116,2,3,4,8,6,0,0,0,0
Section 117,PL106_102,117,3,0,0,5,7,0,0,1,0
Section 118,PL106_102,118,0,0,0,0,0,0,0,0,0
Section 119,PL106_102,119,15,11,5,18,24,3,3,7,2
Section 120,PL106_102,120,0,0,1,0,0,0,0,0,0
Section 121,PL106_102,121,2,1,0,5,2,1,1,2,1
Section 122,PL106_102,122,0,1,0,0,0,0,0,0,0
Section 123,PL106_102,123,3,0,0,4,3,0,0,3,0
Section 124,PL106_102,124,1,0,0,1,1,0,0,1,0
Section 125,PL106_102,125,0,0,0,0,0,0,0,0,0
Section 126,PL106_102,126,2,5,4,8,6,0,0,2,1
Section 127,PL106_102,127,0,0,0,0,0,0,0,0,0
Section 128,PL106_102,128,1,1,1,0,1,0,0,0,0
Section 129,PL106_102,129,0,1,0,1,1,0,0,0,0
Section 130,PL106_102,130,0,0,0,1,1,0,0,0,0
Section 131,PL106_102,131,1,0,0,2,3,0,0,0,0
Section 132,PL106_102,132,1,1,0,1,1,0,0,0,0
Section 133,PL106_102,133,2,0,0,2,2,0,0,0,0
Section 134,PL106_102,134,0,0,0,2,0,0,0,0,0
Section 135,PL106_102,135,0,0,0,0,0,0,0,0,0
Section 136,PL106_102,136,0,0,0,0,0,0,0,0,0
Section 137,PL106_102,137,0,0,1,0,0,0,0,0,0
Section 138,PL106_102,138,2,0,1,4,1,0,0,0,0
Section 139,PL106_102,139,1,0,0,0,1,0,0,0,0
Section 140,PL106_102,140,1,0,0,0,1,0,0,0,0
Section 141,PL106_102,141,0,0,0,1,1,0,0,0,0
Section 142,PL106_102,142,1,2,0,4,2,0,0,0,0
Section 143,PL106_102,143,0,0,3,1,1,0,0,0,0
Section 144,PL106_102,144,0,0,0,1,1,0,0,0,0
Section 145,PL106_102,145,0,0,0,1,1,0,0,0,0
Section 146,PL106_102,146,0,0,1,0,0,0,0,0,0
Section 147,PL106_102,147,0,0,1,1,1,0,0,0,0
Section 148,PL106_102,148,0,0,0,0,0,0,0,0,0
Section 149,PL106_102,149,1,0,0,0,1,0,0,0,0
Section 150,PL106_102,150,0,0,1,0,0,0,0,0,0
Section 151,PL106_102,151,3,0,0,2,3,1,1,2,0
Section 152,PL106_102,152,2,0,1,2,3,1,1,1,0
Section 153,PL106_102,153,0,0,0,1,0,0,0,0,0
Section 154,PL106_102,154,0,1,0,1,1,0,0,0,0
Section 155,PL106_102,155,0,0,1,1,0,0,0,0,0
Section 156,PL106_102,156,0,0,0,0,0,0,0,0,0
Section 157,PL106_102,157,0,0,0,0,0,0,0,0,0
